,demand
0,8962
1,9204
2,12300
3,17000
4,19900
5,22100
6,22000
7,20600
8,18200
9,14600
10,11270
11,10100
12,11000
13,11900
14,14000
15,17000
16,23000
17,27681
18,31127
19,28856
20,27891
21,20238
22,10569
23,8900
